Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CAP_20TQC100MYF",123.814500,-101.079000,0.000000,top
"C2","0.1uF","C_0603_1608Metric",116.776500,-104.140000,180.000000,top
"C3","10uF","C_0603_1608Metric",158.305000,-74.460000,-90.000000,top
"C4","68uF","CAP_20TQC100MYF",102.732500,-95.491000,0.000000,top
"C5","10uF","C_0603_1608Metric",154.178000,-75.946000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",115.306000,-82.270000,0.000000,top
"C7","0.1uF","C_0603_1608Metric",128.905000,-75.298000,-90.000000,top
"C8","10uF","C_0603_1608Metric",132.207000,-78.740000,0.000000,top
"C9","0.1uF","C_0603_1608Metric",162.677000,-77.444000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",157.470000,-85.699000,180.000000,top
"C11","0.1uF","C_0603_1608Metric",148.327000,-79.362000,180.000000,top
"C12","0.1uF","C_0603_1608Metric",138.112500,-85.445000,0.000000,top
"C13","1uF","C_0603_1608Metric",139.437000,-71.615000,0.000000,top
"C14","2uF","C_0603_1608Metric",142.612000,-74.917000,90.000000,top
"C15","1uF","C_0603_1608Metric",143.120000,-71.615000,0.000000,top
"C16","10uF","C_0603_1608Metric",160.413000,-107.422750,-90.000000,top
"C17","10uF","C_0603_1608Metric",155.841000,-108.552750,180.000000,top
"C18","0.1uF","C_0603_1608Metric",115.585000,-115.775500,0.000000,top
"C19","0.1uF","C_0603_1608Metric",130.238500,-108.191000,-90.000000,top
"C20","10uF","C_0603_1608Metric",133.591000,-113.284000,0.000000,top
"C21","1uF","C_0603_1608Metric",141.033500,-104.762000,0.000000,top
"C22","2uF","C_0603_1608Metric",144.716500,-108.064000,90.000000,top
"C23","1uF","C_0603_1608Metric",145.224500,-104.762000,0.000000,top
"C24","0.1uF","C_0603_1608Metric",163.911500,-110.553500,0.000000,top
"C25","0.1uF","C_0603_1608Metric",158.623000,-118.808500,180.000000,top
"C26","0.1uF","C_0603_1608Metric",149.225000,-112.636000,180.000000,top
"C27","0.1uF","C_0603_1608Metric",139.573000,-118.478000,0.000000,top
"C33","0.1uF","C_0603_1608Metric",106.923500,-101.206000,180.000000,top
"C81","10uF","C_0603_1608Metric",132.207000,-77.089000,0.000000,top
"C82","10uF","C_0603_1608Metric",132.207000,-75.438000,0.000000,top
"C83","10uF","C_0603_1608Metric",132.207000,-73.787000,0.000000,top
"C201","10uF","C_0603_1608Metric",133.604000,-111.506000,0.000000,top
"C202","10uF","C_0603_1608Metric",133.617000,-109.728000,0.000000,top
"C203","10uF","C_0603_1608Metric",133.617000,-107.950000,0.000000,top
